( PATRIMONIO + RESULTADOS ) / ACTIVOS INMOVILIZADOS,1.3205419032612622,2.07645668431951,2.1835470705009654,2.7883896620405295,1.4608075405108962,1.6483692634152622,5.120890137643336,0.600114028432803,2.39982063039585,1.103160322121932,1.740726341923391,5.49584766026316,2.061538306096057,0.5521087306393387,3.3737222816984294,4.558391997622822,-233.71533025284137,7.345110098232992,6.2572236741796505,11.281626167017999,4.174267688478726,7.3413154058229315,2.7148153150717222,1.6071930983164453,-22.964340108619584,2.2541285338083457,1.358129462826579,1.42088151252689,3.467572054223648,2.690625402243339,2.121170973718842,2.0827819706272344,0.8339728675466433,1.4307395573344732,0.4265541209369044,0.49384738453789506,12.34262213276184,-7.983649862284589,21.658239281986507,0.796889826405678,7.491053462063463,8.43652058254332,5.141786102067468,1.96589186292625
GASTOS DE OPERACION  / MARGEN FINANCIERO,1.3487490348895026,1.306153388823651,1.0519719194558828,1.1197218346159807,0.9957796712108871,1.057301465445418,0.9923714589466649,0.959907255064896,1.1885551002149655,1.3682767533559903,1.1215225932861448,0.7957491128085281,1.1389924230332813,1.1832425487130236,1.1028904093934733,0.8908392508739492,0.5997100575294301,0.7340983937373634,0.7945991864863967,0.5377469214576973,0.921398197966641,0.8992282129917385,1.1327685741370688,1.0177255995274963,0.8871975448494367,0.8912974509621073,1.2564066228981314,0.9922493605504945,0.901870502490397,1.042061047145531,1.3546381305467348,1.126358698665579,1.3614081595317722,1.0083970333336538,1.7077183393553943,1.107971083606138,0.8186403537880993,0.7296929951635452,1.268342835842178,1.0670296721322445,0.9781659746324473,1.0053484085894047,0.770905502626098,0.9781784028572101
GASTOS DE PERSONAL ESTIMADOS / ACTIVO PROMEDIO ,0.02310846481609408,0.01840086639553274,0.0127434038318664,0.01733635646209602,0.02217712655397915,0.01336012421582012,0.01454300173639646,0.01016091230512006,0.01263884231618769,0.02128944642776363,0.01586191728454335,0.0228046646434786,0.02126038775565186,0.01103902258923832,0.01338684293706211,0.01755903762471878,0.0109452828734175,0.01927912981523172,0.01487043399192726,0.00792716004805884,0.01324408008369051,0.022085189631879,0.01607624028092088,0.02226111896396691,0.01657056332012823,0.01146222459632593,0.01745413204672286,0.03229005071094689,0.02823563224203995,0.01254577406599372,0.02010542073559909,0.01262817255221417,0.0145304915037387,0.02422392338234948,0.01323154801686562,0.01099027902355116,0.01773794374596534,0.01387704047955346,0.01219030765199687,0.01243091061548187,0.01284400144802009,0.01361218264139857,0.02607686664760738,0.01408290294335393
RENTABILIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULTADOS DEL EJERCICIO / PATRIMONIO PROMEDIO,0.00522698493311127,0.01379548622678987,0.00581955032503275,0.00625614164108196,0.012872405911195,0.02609108237348801,0.01894738299444174,0.00682565515929599,0.02482451137621393,0.00219037642296775,0.00062954259314401,0.06560106076807333,0.01276134528280247,1.0418299e-10,0.00945229170677602,0.0650152267481741,0.08576856733697194,0.05977265258443448,0.09331932182534862,0.07178027412990998,0.04856418373937023,0.04092436949820023,8.235678239413e-05,0.0101758242424678,0.04120573584541992,0.07341643211215984,0.00080037856280394,0.00766172251225499,0.04910733122711485,0.01623028798675357,-0.01702978981164991,0.00676409958575393,0.00070501642973191,0.01579574524957971,0.00242348193706908,9.5799458278e-07,0.04117246039476828,0.0762530579652804,0.02367874919162602,0.00323032157303556,0.02774188307469585,0.05857234729235836,0.09560487330273355,0.03490247349388961
RESULTADOS DEL EJERCICIO / ACTIVO PROMEDIO,0.00058520346992956,0.00148439292906468,0.00052027141581583,0.00073823714302992,0.00118543847639848,0.00307017484364941,0.00199473622144971,0.00067506561406516,0.00225815896772966,0.00030436471656967,5.632858716403e-05,0.01282071705057878,0.00172189184966597,1.36304e-11,0.00133325535728673,0.01044758892191779,0.01729680624527552,0.00957435564338077,0.01046578690061817,0.0171264321434054,0.00713630738029214,0.00627428441491112,7.69167849355e-06,0.00094701651852162,0.00464431226178749,0.00747893927880605,7.276718698237e-05,0.00071711474575524,0.00563226370146921,0.0020247443964923,-0.0022756220289783,0.0008620773178039,5.303823852494e-05,0.00162695933140672,0.0002039899660791,9.502787342e-08,0.00686492012791682,0.01038869152113754,0.00281888667391569,0.00062520585930612,0.00335723767317029,0.00984523559549575,0.01314405428705544,0.00412800180556774
INTERMEDIACION FINANCIERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTERA BRUTA / (DEPOSITOS A LA VISTA + DEPOSITOS A PLAZO),0.7924855886741702,0.7966888420829756,0.8561530403228339,0.8224137110331695,0.8712905321111746,0.836775952749754,0.6583203696302726,0.7241375842672804,0.8692489387643094,0.9278792575979633,0.7727956333993686,1.0027722169505433,0.8566978981536059,0.7128200879225461,0.8726756385309812,0.8791067757785131,0.7714737323969422,0.8509499197128053,0.8066446197336206,1.4382172273728913,0.5781173028028934,0.8123243656265415,0.768158446529783,0.9138694893702437,0.7056705531681845,0.6956504317412221,0.8208037491264506,0.823183889629446,0.8604715343857324,0.8153944238556626,0.8251009013961199,0.7898111713655118,0.7577370802020735,0.8844130725477234,0.6741952708543862,0.8327760600814055,0.7794474984649971,0.6993883523498942,0.7610066361861952,0.82892058386328,0.8688720982469188,0.6827553302685772,0.7939975054349901,0.775337946790977
EFICIENCIA FINANCIERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARGEN DE INTERMEDIACIÓN ESTIMADO / PATRIMONIO PROMEDIO,-0.12920721364405174,-0.09396879854369096,-0.01656772392571487,-0.03467053135296536,0.00198578888745422,-0.01255107257939779,0.00234972335451584,0.0129147523518099,-0.0491002915278749,-0.11794345135506139,-0.04769684634815946,0.06546412255898151,-0.04660084613793999,-0.03444828635092169,-0.02216494338606661,0.03399779703627547,0.08512150440599053,0.08267687758152961,0.08651103886079192,0.11880627215876813,0.01707095739912797,0.03079573552062834,-0.0448880128213153,-0.00841595958807348,0.03921670902743145,0.03665133179560429,-0.08441190909923321,0.00441701065668712,0.06242035294293846,-0.01204746414954087,-0.09143751920518692,-0.02933335585344434,-0.12902710562001146,-0.00481034778747562,-0.23695219662453723,-0.0274801962043207,0.04251984454968934,0.08484419832400844,-0.05273418046937421,-0.01266122882577804,0.00608438625710435,-0.00109327445884956,0.10695901835355369,0.00633746895671637
MARGEN DE INTERMEDIACIÓN ESTIMADO / ACTIVO PROMEDIO,-0.01446579830093795,-0.01011103326246561,-0.00148116481553564,-0.00409119158128851,0.00018287417048786,-0.00147690259616215,0.000247373385919,0.00127728474753085,-0.00446640265951216,-0.01638888401395978,-0.00426769530168535,0.01279395458650239,-0.00628786506236075,-0.00450692436868457,-0.00312638780416031,0.00546325876954318,0.0171663141256892,0.01324314373252286,0.00970223614529321,0.02834661169802152,0.0025085070909426,0.00472142163195209,-0.0041922978630013,-0.00078323412032353,0.00442012838422094,0.00373367483410158,-0.00767438991799393,0.00041341923686246,0.00715917316881781,-0.00150293300701953,-0.01221842637400651,-0.00373850509084515,-0.00970668216435597,-0.00049546508230458,-0.01994480330654342,-0.00272588661048489,0.007089577204916,0.01155914565613445,-0.00627785181480595,-0.00245049115666006,0.00073631377889781,-0.00018376495249861,0.01470505733821285,0.00074954811728844
RENDIMIENTO DE LA CARTERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENDIMIENTO DE LA CARTERA DE CREDITO PRODUCTIVO POR VENCER,0.08051303729145565,0.1241390963762364,0.08396140430295629,0,0.1102312202161127,0,0.10862014840085056,0,0.10289445192562724,0,0,0.10503858397497451,0.10577554482260558,0.06398461900637023,0.10202167111914301,0,0.10814845909382095,0,0,0,0.10287332205573385,0,0.10858883477782026,0,0.09728831983723991,0.10332382569355461,0,0.06649326749050455,0,0.0860068857618509,0.08877373895182122,0.10572826445096052,0.10128758190934875,0,0,0.02160133435025177,0.09686981224627766,0.10977261686909225,0,0.07604275953441048,0,0.11162345002357321,0,0.08705754442109365
